time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
95,37,71,,3550,-7.093841981887818,2.020339741193311e-06,-18.885887145996094,1.0003635883331299,-0.007778233586810757,0.2,0.0,-0.0181919913738966,0.0026240372,700,0.00025,2960.0,0.000105
95,37,72,,3600,-7.098736953735352,1.8192781226389342e-06,-6.060304164886475,1.0016497373580933,-0.005476255733054813,0.2,0.013999999687075614,-0.009463435970246792,0.003813113,710,0.00025,2960.0,0.000105
95,38,73,,3650,-7.105932140350342,1.414600251337106e-06,-1.380286693572998,1.003265142440796,-0.004920463550370258,0.2,0.0,-0.011583773419260979,0.0034946979,720,0.00025,2960.0,0.000105
95,38,74,,3700,-7.113080310821533,7.637675707883318e-07,0.14404678344726562,1.0042450428009033,-0.0011016959114058089,0.2,0.005999999865889549,-0.002825855277478695,0.004858172,730,0.00025,2960.0,0.000105
95,39,75,,3750,-7.116558027267456,1.887750386231346e-06,-3.730217933654785,1.0048242807388306,-0.01758992401976158,0.2,0.05999999903142452,-0.03287157043814659,0.013103103,740,0.00025,2960.0,0.000105
95,39,76,,3800,-7.118817758560181,1.1610667456807277e-06,-7.314024925231934,1.005059003829956,-0.0020433006672828215,0.2,0.0,-0.008425840176641941,0.0030910945,750,0.00025,2960.0,0.000105
95,40,77,,3850,-7.119665145874023,4.750354321458872e-07,-19.832914352416992,1.0052791833877563,-0.013269947226159307,0.2,0.021999999508261682,-0.031260017305612564,0.0076617445,760,0.00025,2960.0,0.000105
95,40,78,,3900,-7.120848178863525,4.6376972875350473e-07,-10.837044715881348,1.005475401878357,0.004429056100139839,0.2,0.0,-0.0002007699222303927,0.0025929594,770,0.00025,2960.0,0.000105
95,41,79,,3950,-7.121385288238526,3.553215265128529e-07,-8.197885513305664,1.0054045915603638,-0.013400650116847856,0.2,0.019999999925494193,-0.03462642431259155,0.00799727,780,0.00025,2960.0,0.000105
95,41,80,,4000,-7.120640563964844,5.612741460936376e-07,-2.979670524597168,1.0053340196609497,-0.011355307732709008,0.2,0.11400000043213368,-0.01764056645333767,0.019232467,790,0.00025,2960.0,0.000105
95,42,81,,4050,-7.120708036422729,6.072824362490792e-07,-1.0957121849060059,1.0054035186767578,-0.009534766799013283,0.2,0.013999999687075614,-0.0258405189961195,0.0069000423,800,0.00025,2960.0,0.000105
95,42,82,,4100,-7.120153999328613,1.0867033552131034e-06,-23.533479690551758,1.0049726963043213,-0.0037940900356042916,0.2,0.07000000067055226,-0.006129674147814512,0.012182227,810,0.00025,2960.0,0.000105
95,43,83,,4150,-7.11814546585083,1.0270241659782186e-06,-12.689308166503906,1.0049164295196533,-0.008125698708114016,0.2,0.015999999642372132,-0.01827855408191681,0.0076897955,820,0.00025,2960.0,0.000105
95,43,84,,4200,-7.119385147094727,9.8378746997696e-07,-0.5846043825149536,1.005345344543457,-0.01432337371353043,0.2,0.025999999418854714,-0.03310784697532654,0.009167611,830,0.00025,2960.0,0.000105
95,44,85,,4250,-7.121008586883545,7.80537084210664e-07,0.006742238998413086,1.0054680109024048,0.0024277412407680997,0.2,0.007999999821186066,-0.009628807194530964,0.0054641366,840,0.00025,2960.0,0.000105
