Wall time,Step,Value
1732015604.392416,1009664,3.722775687720059e-08
1732015643.5541685,1013760,1.333413877091516e-07
1732015704.347454,1019904,1.305249099914363e-07
1732015932.6397455,1042432,2.900701758790092e-07
1732015994.3250675,1048576,8.935643336371868e-08
1732016015.1599488,1050624,2.0911791409616853e-07
1732016033.959446,1052672,1.7650822883297224e-06
1732016075.2974546,1056768,1.713755466425937e-07
1732016115.6923344,1060864,2.431417200909891e-08
1732016135.6335492,1062912,8.227648606862203e-08
1732016177.4853554,1067008,5.0809280338626195e-08
1732016275.763683,1077248,2.5030439942952398e-08
1732016296.2307959,1079296,5.2478629442020974e-08
1732016412.903189,1091584,8.132878548394729e-08
1732016454.408043,1095680,7.970117366085105e-08
1732016472.560718,1097728,2.3413360850099707e-07
1732016492.6946502,1099776,5.331866859137335e-08
1732016512.742696,1101824,3.0889171398484905e-07
1732016530.5418081,1103872,5.380378524932894e-07
1732016551.0556977,1105920,7.536564083920894e-08
1732016589.8702753,1110016,2.3862773446126084e-07
1732016610.2961144,1112064,9.249890098317337e-08
1732016628.7925308,1114112,1.882655453755433e-07
1732016730.2764797,1124352,6.747937675299909e-08
1732016749.8633776,1126400,1.9952618401930522e-07
1732016770.261591,1128448,4.8011951747639614e-08
1732016810.8887987,1132544,1.3564746268457384e-06
1732016897.5692754,1140736,4.4889500117051284e-08
1732016937.6532502,1144832,1.7378090433339821e-06
1732016977.2306502,1148928,5.167191829968942e-07
1732017059.2581112,1157120,3.589476875731634e-07
1732017077.0998561,1159168,1.9287968200387695e-07
1732017096.9428372,1161216,7.635848930931388e-08
1732017175.1454535,1169408,8.795790762405886e-08
1732017249.7510407,1177600,2.139538310075295e-06
1732017269.4860551,1179648,5.818964510240221e-08
1732017327.7416055,1185792,6.737042212989763e-08
1732017366.9531822,1189888,3.3954617606468673e-07
1732017387.2508914,1191936,8.817071517341901e-08
1732017405.4526503,1193984,2.1803283800636564e-07
1732017425.3250477,1196032,6.722797252223245e-08
1732017445.2299426,1198080,1.8811512347838288e-07
1732017463.1717086,1200128,2.5467065825068858e-06
1732017501.2779188,1204224,7.29376452568431e-08
1732017520.5984018,1206272,8.67754224032069e-08
1732017616.1290612,1216512,1.4729903341503814e-07
1732017635.8927553,1218560,3.734661291332486e-08
1732017694.6250398,1224704,8.814600249706928e-08
1732017712.24892,1226752,2.894438011935563e-06
1732017768.1405356,1232896,2.1560639140716376e-07
1732017807.0929205,1236992,8.662532735570494e-08
1732017882.3275907,1245184,2.7813609904114855e-07
1732017919.61432,1249280,1.8801971179982502e-07
1732017960.6492665,1253376,3.4904985568573466e-08
1732017999.1235101,1257472,3.728793984691947e-08
1732018057.7421627,1263616,9.194550187885397e-08
1732018132.881001,1271808,6.701397978758905e-07
1732018152.9262087,1273856,1.0427647367805548e-07
1732018190.1479762,1277952,1.2281080898901564e-06
1732018248.360491,1284096,2.1688377671580383e-07
1732018325.1954768,1292288,3.7383419027037235e-08
1732018423.001183,1302528,1.8593212871564901e-06
1732018557.0156732,1316864,1.09430288830481e-07
1732018576.5382726,1318912,1.5825101229438587e-07
1732018614.1604588,1323008,3.6541496228892356e-07
1732018633.411684,1325056,1.064642560777429e-07
1732018652.3528197,1327104,3.868007070195745e-08
1732018669.8396235,1329152,6.683540618723782e-07
1732018689.3905573,1331200,7.227103537843504e-08
1732018709.0264215,1333248,7.725660822188729e-08
1732018765.4667153,1339392,2.652091382060462e-07
1732018842.730661,1347584,3.9615123625935666e-08
1732018862.531605,1349632,3.130922365812694e-08
1732018937.830597,1357824,7.318083561358435e-08
1732018995.9221852,1363968,2.9211921059868473e-07
1732019033.4766614,1368064,1.0950843716273084e-06
1732019072.2729561,1372160,4.5546666882501086e-08
1732019127.0183437,1378304,7.787741651554825e-07
1732019144.4679673,1380352,4.0268389511766145e-07
1732019164.0961492,1382400,2.9054351102786313e-07
1732019183.7493477,1384448,6.278335007436908e-08
1732019201.5746357,1386496,1.260688122783904e-07
1732019239.0831254,1390592,4.471002057471196e-07
1732019258.7773943,1392640,2.385533832693909e-07
1732019278.1307738,1394688,1.7841668409346312e-07
1732019315.8355248,1398784,1.8647449451236753e-07
1732019337.1960905,1400832,7.662579548650683e-08
1732019354.004617,1402880,3.405129973543808e-07
1732019373.1962798,1404928,3.6432254546525655e-08
1732019392.3136277,1406976,9.724194427462862e-08
1732019410.1440282,1409024,4.131371724724886e-07
1732019447.240693,1413120,8.872884649235857e-08
1732019467.1546142,1415168,8.812818350634188e-07
1732019600.9001377,1429504,4.733809078061313e-08
1732019658.308584,1435648,3.640601846655045e-07
1732019679.0309749,1437696,3.118444965366507e-06
1732019698.8855066,1439744,2.292886591703791e-08
1732019737.0689187,1443840,5.9464049684265774e-08
1732019795.2932653,1449984,2.405299426300189e-07
1732019833.305631,1454080,1.6735035046622215e-07
1732019873.5394208,1458176,1.0037661013484467e-07
1732019955.7877724,1466368,4.782420433002699e-07
1732020037.8022,1474560,6.866101642799549e-08
1732020096.8764384,1480704,7.885839181653864e-08
1732020117.6476038,1482752,3.0461055757768918e-06
1732020137.9483519,1484800,5.946797188016717e-08
1732020156.595737,1486848,5.319403939552103e-08
1732020177.1447048,1488896,3.725672925725121e-08
1732020276.1222942,1499136,5.898985477870156e-07
1732020394.5150542,1511424,6.371715954855972e-08
1732020432.9663026,1515520,2.0385864729632885e-07
1732020452.8892107,1517568,9.763783737071208e-08
1732020473.1406271,1519616,4.103434321223176e-07
1732020492.1982443,1521664,3.984617933383561e-07
1732020532.946439,1525760,4.978222278850808e-08
1732020591.6365173,1531904,1.2954137673659716e-07
1732020612.5815125,1533952,5.9255146567238626e-08
1732020672.9705927,1540096,1.3749765059856145e-07
1732020693.5416708,1542144,4.227081618068951e-08
1732020711.8130355,1544192,1.294584990318981e-07
1732020752.7140281,1548288,6.234701288576616e-08
1732020791.7174177,1552384,2.5016964499968708e-08
1732020912.063497,1564672,4.690281585340017e-08
1732020970.527416,1570816,2.2993417303496244e-07
1732020989.0508072,1572864,4.3320579834471573e-07
1732021047.0955343,1579008,1.6691639359578403e-07
1732021067.7333102,1581056,1.637370132812066e-07
1732021086.1773474,1583104,7.600065288215774e-08
1732021127.3456182,1587200,1.3873102489014855e-07
1732021145.801239,1589248,1.6835244878166122e-06
1732021166.2666235,1591296,1.6938553670797774e-08
1732021264.090674,1601536,6.449833108490566e-06
1732021344.1482973,1609728,2.7094195331756055e-08
1732021362.845141,1611776,4.170056655539156e-08
1732021404.2650313,1615872,4.71973748972232e-08
1732021444.4766176,1619968,2.5560055405549065e-08
1732021484.483081,1624064,1.0203225286886664e-07
1732021505.1314788,1626112,1.782421122697997e-06
1732021524.7352688,1628160,6.564328458580349e-08
1732021545.6717303,1630208,3.3850607650265374e-08
1732021565.7814584,1632256,9.589057015091385e-08
1732021584.2666612,1634304,2.067734925503828e-07
1732021625.6068702,1638400,6.755628589871776e-08
1732021665.5008194,1642496,4.64574547720531e-08
1732021704.3820825,1646592,1.4552973937043134e-07
1732021763.8585327,1652736,3.919169344612783e-08
1732021802.5751805,1656832,5.552406534548027e-08
1732021823.5162723,1658880,1.8024287840034958e-08
1732021843.9783754,1660928,5.8584266326988654e-08
1732021923.0762527,1669120,1.6444505490653683e-07
1732021962.6447322,1673216,5.4282324413179595e-08
1732021983.5540056,1675264,1.1338004242134048e-06
1732022025.166354,1679360,7.509542854222673e-08
1732022087.5520005,1685504,2.4925660113694903e-07
1732022169.162225,1693696,1.9618806135213163e-08
1732022228.8872752,1699840,2.152644285047245e-08
1732022288.9472613,1705984,3.2358489221451237e-08
1732022307.845837,1708032,4.2090150031981466e-07
1732022351.929903,1712128,5.416143622483105e-08
1732022391.9105897,1716224,3.1076831419341033e-06
1732022431.1462753,1720320,3.197542497446193e-08
1732022530.440877,1730560,6.044358258350258e-08
1732022571.636229,1734656,3.937141457299731e-08
1732022590.4395983,1736704,4.043442459078506e-06
1732022611.1199994,1738752,1.640039748451727e-08
1732022629.882525,1740800,3.7297500199429123e-08
1732022690.2607005,1746944,4.157462996090544e-08
1732022808.7640884,1759232,1.6259859592082648e-07
1732022847.5107732,1763328,4.131336694968013e-08
1732022867.5927382,1765376,3.1632539503334556e-06
1732022887.8643928,1767424,2.0406380585313855e-08
1732022926.3980055,1771520,2.9464125361755578e-08
1732023004.6680167,1779712,2.1148528617231932e-07
1732023042.9346917,1783808,1.4822708749306912e-07
1732023060.6612775,1785856,6.384309614304584e-08
1732023139.0800278,1794048,5.669672731301034e-08
1732023159.0540307,1796096,2.983449221005685e-08
1732023177.59191,1798144,5.1397531564134624e-08
1732023198.481385,1800192,3.330148956592893e-08
1732023259.5215948,1806336,2.1018376372694547e-08
1732023279.4652863,1808384,7.378491062581816e-08
1732023297.7017827,1810432,5.653498291735559e-08
1732023337.0631495,1814528,6.117146966744258e-08
1732023396.9581661,1820672,4.8690360188174964e-08
1732023438.9741838,1824768,3.206706722380659e-08
1732023458.090002,1826816,4.755183979909816e-08
1732023499.6038811,1830912,3.8596549956082526e-08
1732023518.6113293,1832960,6.839704269623326e-08
1732023577.7425191,1839104,3.368993262142794e-08
1732023636.5978417,1845248,1.4649017998635827e-07
1732023656.9334772,1847296,4.5650150326537187e-08
1732023795.678,1861632,3.850196605981182e-07
1732023816.9766269,1863680,5.283302471070783e-06
1732023835.0527096,1865728,1.1016071255198767e-07
1732023855.546547,1867776,3.5023695943436906e-08
1732023875.047587,1869824,2.6333351499374658e-08
1732023893.3181503,1871872,3.274591975355179e-08
1732023912.9233508,1873920,1.5140235731792018e-08
1732023951.0773733,1878016,4.5135945470065053e-07
1732023971.1125062,1880064,2.9222894326608184e-08
1732023989.774402,1882112,3.255670932844623e-08
1732024049.5081828,1888256,5.74554412935413e-08
1732024070.7694144,1890304,3.5506923268258106e-07
1732024091.778872,1892352,4.4812100696844936e-08
1732024110.291119,1894400,1.5721215618214046e-07
1732024151.9213505,1898496,4.6849343959820544e-08
1732024268.9458718,1910784,1.719899103136413e-07
1732024290.1777825,1912832,5.276907018014754e-07
1732024351.6151102,1918976,3.605901710557191e-08
1732024489.6366448,1933312,3.7884149151068414e-08
1732024548.2733276,1939456,1.1569234459329891e-07
1732024684.1583586,1953792,8.200181866868661e-08
1732024701.4626918,1955840,6.993948886702128e-08
1732024720.5482862,1957888,5.447588478091347e-07
1732024757.1866071,1961984,5.054234364365584e-08
1732024776.6080031,1964032,8.968654441332546e-08
1732024795.7369895,1966080,4.7944595849003235e-08
1732024853.6750813,1972224,6.21193763095107e-08
1732024872.013013,1974272,3.872109459734929e-07
1732024910.2895248,1978368,4.5587214003717236e-08
1732024951.349231,1982464,2.754091532608527e-08
