time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance
1130496,552,7.555000000000001e-05,1498.0,112,10029,0.15225350856781006,0.29967640023678543,4.3813507780154914e-08,272.27576,0.2987375557422638,0.00025,3.348217248916626,5510,0.2,1.0,-0.13476526737213135
1132544,553,7.566e-05,1498.0,112,10048,0.15225350856781006,0.29813719913363457,3.285351314330498e-08,269.53397,0.2866039574146271,0.00025,3.348217248916626,5520,0.2,1.0,0.1911049485206604
1134592,554,7.577000000000001e-05,1498.0,112,10066,0.15225350856781006,0.2956738124601543,3.530655448003017e-08,258.5598,0.2854786813259125,0.00025,3.348217248916626,5530,0.2,1.0,-0.37431156635284424
1136640,555,7.578000000000001e-05,1498.0,112,10083,0.15225350856781006,0.2934129247441888,4.413382843626579e-08,278.34015,0.28130263090133667,0.00025,3.348217248916626,5540,0.2,1.0,-0.1320667266845703
1138688,556,7.576e-05,1498.0,112,10102,0.15225350856781006,0.29701345320791006,3.043899729493482e-08,267.4422,0.2657397389411926,0.00025,3.348217248916626,5550,0.2,1.0,-0.14346110820770264
1140736,557,7.578e-05,1498.0,112,10120,0.15225350856781006,0.29675517976284027,4.3637269486751505e-08,263.1758,0.2843076288700104,0.00025,3.348217248916626,5560,0.2,1.0,-0.50422203540802
1142784,558,7.578e-05,1498.0,112,10137,0.15225350856781006,0.2993701229803264,3.182120067724003e-08,276.1455,0.3025815188884735,0.00025,3.348217248916626,5570,0.2,1.0,-0.19460833072662354
1144832,559,7.585e-05,1498.0,112,10156,0.15225350856781006,0.2972555626183748,3.5011969798381945e-08,263.5848,0.3041417896747589,0.00025,3.348217248916626,5580,0.2,1.0,-0.34742701053619385
1146880,560,7.586e-05,1498.0,112,10174,0.15225350856781006,0.2992416264489293,4.0894407057900925e-08,268.2948,0.30390942096710205,0.00025,3.348217248916626,5590,0.2,1.0,-0.5724072456359863
1148928,561,7.589e-05,1498.0,112,10191,0.15225350856781006,0.2970265434589237,2.794773843184384e-08,272.53818,0.29638099670410156,0.00025,3.348217248916626,5600,0.2,1.0,-0.16149842739105225
1150976,562,7.585e-05,1498.0,112,10209,0.15225350856781006,0.29823154844343663,3.792512584810392e-08,259.67157,0.2762889564037323,0.00025,3.348217248916626,5610,0.2,1.0,-0.5525821447372437
1153024,563,7.578e-05,1498.0,112,10226,0.15225350856781006,0.2924172876402736,3.755765854429605e-08,276.61145,0.2949303090572357,0.00025,3.348217248916626,5620,0.2,1.0,-0.5926483869552612
1155072,564,7.578000000000001e-05,1498.0,112,10245,0.15225350856781006,0.2958056597970426,3.2646294806371046e-08,268.69446,0.2896463871002197,0.00025,3.348217248916626,5630,0.2,1.0,0.008947491645812988
1157120,565,7.577e-05,1498.0,112,10262,0.15225350856781006,0.2999322815798223,3.507811231762137e-08,260.15192,0.27820467948913574,0.00025,3.348217248916626,5640,0.2,1.0,0.2874652147293091
1159168,566,7.575999999999999e-05,1498.0,112,10279,0.15225350856781006,0.2940282574854791,2.960339830493375e-08,277.36935,0.32803672552108765,0.00025,3.348217248916626,5650,0.2,1.0,-0.10102903842926025
1161216,567,7.57e-05,1498.0,112,10299,0.15225350856781006,0.29676644084975123,3.17795192036896e-08,265.38174,0.2962857782840729,0.00025,3.348217248916626,5660,0.2,1.0,0.22709929943084717
1163264,568,7.571999999999999e-05,1498.0,112,10316,0.15225350856781006,0.29841604148969053,3.6854416185505556e-08,265.05566,0.2840993404388428,0.00025,3.348217248916626,5670,0.2,1.0,0.08556705713272095
1165312,569,7.570999999999999e-05,1498.0,112,10334,0.15225350856781006,0.2977255921810865,3.0566765252260096e-08,275.5516,0.3019930124282837,0.00025,3.348217248916626,5680,0.2,1.0,-0.06563091278076172
1167360,570,7.564e-05,1498.0,112,10353,0.15225350856781006,0.29817011645063757,4.100689034447491e-08,263.29712,0.32860955595970154,0.00025,3.348217248916626,5690,0.2,1.0,-0.08893883228302002
1169408,571,7.564e-05,1498.0,112,10371,0.15225350856781006,0.29690773189067843,4.0439838841499484e-08,270.47104,0.2963489294052124,0.00025,3.348217248916626,5700,0.2,1.0,-0.2407839298248291
1171456,572,7.562000000000001e-05,1498.0,112,10390,0.15225350856781006,0.29391529140993955,2.6996285495961558e-08,270.60474,0.28992000222206116,0.00025,3.348217248916626,5710,0.2,1.0,0.24837279319763184
1173504,573,7.563e-05,1498.0,112,10408,0.15225350856781006,0.29802060332149266,3.744268083361035e-08,257.59766,0.27303752303123474,0.00025,3.348217248916626,5720,0.2,1.0,0.08494001626968384
1175552,574,7.562e-05,1498.0,112,10426,0.15225350856781006,0.2944542461074889,4.040423846607411e-08,279.13376,0.31039971113204956,0.00025,3.348217248916626,5730,0.2,1.0,0.034557461738586426
1177600,575,7.547e-05,1498.0,112,10445,0.15225350856781006,0.29132251990959046,2.5340729528644523e-08,267.98456,0.28598231077194214,0.00025,3.348217248916626,5740,0.2,1.0,-0.13632047176361084
1179648,576,7.548e-05,1498.0,112,10463,0.15225350856781006,0.2961822643876076,3.799144409621924e-08,262.19672,0.29076144099235535,0.00025,3.348217248916626,5750,0.2,1.0,-0.9583803415298462
1181696,577,7.545e-05,1498.0,112,10481,0.15225350856781006,0.2939371936954558,3.382923938893834e-08,276.53143,0.3245638906955719,0.00025,3.348217248916626,5760,0.2,1.0,-0.46730077266693115
1183744,578,7.549e-05,1498.0,112,10500,0.15225350856781006,0.29587279688566925,3.470271905392508e-08,264.1664,0.3166179656982422,0.00025,3.348217248916626,5770,0.2,1.0,-0.2938016653060913
1185792,579,7.549999999999999e-05,1498.0,112,10518,0.15225350856781006,0.295452275685966,3.2321370271870545e-08,266.56842,0.3045960068702698,0.00025,3.348217248916626,5780,0.2,1.0,-0.6053587198257446
1187840,580,7.541999999999998e-05,1498.0,112,10536,0.15225350856781006,0.2912607042118907,2.5910675127693848e-08,274.0807,0.26648855209350586,0.00025,3.348217248916626,5790,0.2,1.0,-0.5196150541305542
1189888,581,7.544999999999999e-05,1498.0,112,10555,0.15225350856781006,0.29794377405196426,3.302818007977493e-08,261.82568,0.3063028156757355,0.00025,3.348217248916626,5800,0.2,1.0,-0.5588653087615967
1191936,582,7.534e-05,1498.0,112,10573,0.15225350856781006,0.29648447483778,4.1726228863780965e-08,273.63174,0.29967719316482544,0.00025,3.348217248916626,5810,0.2,1.0,-0.8079181909561157
1193984,583,7.524e-05,1498.0,112,10593,0.15225350856781006,0.29303306923247874,2.5132454192777766e-08,269.1948,0.276624858379364,0.00025,3.348217248916626,5820,0.2,1.0,-0.19715547561645508
1196032,584,7.516e-05,1498.0,112,10611,0.15225350856781006,0.2961877857334912,3.273927222935402e-08,259.0941,0.27700933814048767,0.00025,3.348217248916626,5830,0.2,1.0,-0.7036565542221069
1198080,585,7.516e-05,1498.0,112,10629,0.15225350856781006,0.2934279709123075,3.225739451939713e-08,277.97864,0.299786776304245,0.00025,3.348217248916626,5840,0.2,1.0,-0.7100064754486084
1200128,586,7.518e-05,1498.0,112,10649,0.15225350856781006,0.2932773833628744,3.441354501643179e-08,266.40967,0.30627596378326416,0.00025,3.348217248916626,5850,0.2,1.0,-0.2787073850631714
1202176,587,7.521999999999999e-05,1498.0,112,10667,0.15225350856781006,0.29676478235051035,3.446761251968411e-08,264.30573,0.28486737608909607,0.00025,3.348217248916626,5860,0.2,1.0,-1.104006290435791
1204224,588,7.521999999999999e-05,1498.0,112,10685,0.15225350856781006,0.29375695027410986,2.4651682388465713e-08,275.79245,0.2780892848968506,0.00025,3.348217248916626,5870,0.2,1.0,-0.30463874340057373
1206272,589,7.520999999999999e-05,1498.0,112,10704,0.15225350856781006,0.2956574119627476,2.911518444115302e-08,263.50464,0.26547545194625854,0.00025,3.348217248916626,5880,0.2,1.0,-0.690622091293335
1208320,590,7.527e-05,1498.0,112,10722,0.15225350856781006,0.298314119130373,3.7527172352946894e-08,269.09726,0.33366209268569946,0.00025,3.348217248916626,5890,0.2,1.0,-0.7516869306564331
1210368,591,7.531e-05,1498.0,112,10740,0.15225350856781006,0.29277312965132296,2.8570886234646763e-08,271.70044,0.3159334659576416,0.00025,3.348217248916626,5900,0.2,1.0,-0.4289628267288208
1212416,592,7.533e-05,1498.0,112,10759,0.15225350856781006,0.29815158937126396,4.181272083292331e-08,258.2616,0.3190348446369171,0.00025,3.348217248916626,5910,0.2,1.0,-0.663469672203064
1214464,593,7.531999999999999e-05,1498.0,112,10777,0.15225350856781006,0.29458887223154306,2.6965533145295596e-08,278.25342,0.29057571291923523,0.00025,3.348217248916626,5920,0.2,1.0,-0.8243120908737183
1216512,594,7.535000000000002e-05,1498.0,112,10796,0.15225350856781006,0.2887706349603832,3.295359406740861e-08,268.47192,0.29164278507232666,0.00025,3.348217248916626,5930,0.2,1.0,-0.5600332021713257
1218560,595,7.533e-05,1498.0,112,10814,0.15225350856781006,0.2984656415879726,3.2354001319734314e-08,261.03452,0.3004283010959625,0.00025,3.348217248916626,5940,0.2,1.0,-1.1871201992034912
1220608,596,7.528e-05,1498.0,112,10831,0.15225350856781006,0.296589826606214,2.9743796457759596e-08,276.92297,0.3135972023010254,0.00025,3.348217248916626,5950,0.2,1.0,-0.513627290725708
1222656,597,7.532999999999999e-05,1498.0,112,10851,0.15225350856781006,0.29345718706026674,3.015644575998788e-08,264.6361,0.31073689460754395,0.00025,3.348217248916626,5960,0.2,1.0,-0.5806674957275391
1224704,598,7.527999999999998e-05,1498.0,112,10868,0.15225350856781006,0.2958482915535569,3.040730203740516e-08,265.69794,0.3045959174633026,0.00025,3.348217248916626,5970,0.2,1.0,-0.836571216583252
