,date,dji
92,2022-07-27,959851.6469164938
93,2022-07-28,969750.2175001348
94,2022-07-29,979155.6208660854
95,2022-08-01,977762.5253701636
96,2022-08-02,965771.5749594956
97,2022-08-03,978182.9111212527
98,2022-08-04,975628.6892197606
99,2022-08-05,977913.6779200012
100,2022-08-08,978780.3013991159
101,2022-08-09,977047.403791926
102,2022-08-10,992999.4709660755
103,2022-08-11,993809.1502257215
104,2022-08-12,1006460.4323265696
105,2022-08-15,1010973.5819579286
106,2022-08-16,1018115.4817125793
107,2022-08-17,1012997.1396301374
108,2022-08-18,1013555.1696908626
109,2022-08-19,1004841.3067079709
110,2022-08-22,985668.8051996477
111,2022-08-23,981077.2844850525
112,2022-08-24,982855.2483763619
113,2022-08-25,992470.9028430304
114,2022-08-26,962409.7699045957
115,2022-08-29,956912.2654937478
116,2022-08-30,947726.7786072795
117,2022-08-31,939366.5171017232
118,2022-09-01,943718.6741289601
119,2022-09-02,933643.0407933716
120,2022-09-06,928481.5538575284
121,2022-09-07,941478.6352624925
122,2022-09-08,947239.375681744
123,2022-09-09,958483.9375961225
124,2022-09-12,965329.4712187728
125,2022-09-13,927279.2622544485
126,2022-09-14,928177.1526516152
127,2022-09-15,923011.7646291621
128,2022-09-16,918856.0593365754
129,2022-09-19,924736.6271624393
130,2022-09-20,915392.3020032604
131,2022-09-21,899817.3592764521
132,2022-09-22,896624.581899587
133,2022-09-23,882128.2605078097
134,2022-09-26,872302.47139077
135,2022-09-27,868551.6057280062
136,2022-09-28,884910.5504130436
137,2022-09-29,871253.079092726
138,2022-09-30,856344.4652489458
139,2022-10-03,879161.4550284483
140,2022-10-04,903768.5777604758
141,2022-10-05,902503.0536192127
142,2022-10-06,892160.6325396505
143,2022-10-07,873375.0373077798
144,2022-10-10,870575.5127512547
145,2022-10-11,871657.9187225491
146,2022-10-12,870813.0714582413
147,2022-10-13,895492.9756568703
148,2022-10-14,883452.4756237401
149,2022-10-17,899878.2045825308
150,2022-10-18,909953.8379181194
151,2022-10-19,906973.0001719971
152,2022-10-20,904283.4047426267
153,2022-10-21,926611.1866162219
154,2022-10-24,939044.2407676127
155,2022-10-25,949094.2550269576
156,2022-10-26,949164.8821621476
157,2022-10-27,954953.3377638808
158,2022-10-28,979652.6309452123
159,2022-10-31,975811.3998135164
160,2022-11-01,973433.9495381055
