,account_value,date,daily_return,datadate
82,1038710.3902853368,2021-08-02,-0.0030243090876741,2021-08-02
83,1052392.9958722813,2021-08-03,0.0131726857793208,2021-08-03
84,1030547.877610204,2021-08-04,-0.0207575671329613,2021-08-04
85,1039427.8853404552,2021-08-05,0.0086167832889469,2021-08-05
86,1034758.7502373364,2021-08-06,-0.0044920240922625,2021-08-06
87,1033149.38401481,2021-08-09,-0.0015553057388086,2021-08-09
88,1036641.9329581426,2021-08-10,0.0033804878533254,2021-08-10
89,1042247.557849664,2021-08-11,0.0054074842173568,2021-08-11
90,1045940.6836299222,2021-08-12,0.0035434247386272,2021-08-12
91,1046971.0660024388,2021-08-13,0.0009851250540715,2021-08-13
92,1051327.3013889096,2021-08-16,0.004160798256922,2021-08-16
93,1047345.6689236348,2021-08-17,-0.0037872434778536,2021-08-17
94,1032115.1417197088,2021-08-18,-0.0145420252891087,2021-08-18
95,1025094.673729322,2021-08-19,-0.0068020201493115,2021-08-19
96,1029531.5990818876,2021-08-20,0.0043283078785534,2021-08-20
97,1038929.6369344612,2021-08-23,0.0091284598364482,2021-08-23
98,1036724.3268925032,2021-08-24,-0.0021226750720722,2021-08-24
99,1032395.0258237396,2021-08-25,-0.0041759423951597,2021-08-25
100,1025791.5377986656,2021-08-26,-0.0063962803577101,2021-08-26
101,1032406.9062253472,2021-08-27,0.0064490378238819,2021-08-27
102,1033182.2319222502,2021-08-30,0.0007509884835408,2021-08-30
103,1034574.8163578088,2021-08-31,0.0013478594506677,2021-08-31
104,1032963.8304853569,2021-09-01,-0.0015571477741196,2021-09-01
105,1038751.8821914572,2021-09-02,0.0056033440235567,2021-09-02
106,1036560.1526931892,2021-09-03,-0.0021099644061719,2021-09-03
107,1025252.5708515868,2021-09-07,-0.0109087560545551,2021-09-07
108,1020601.9219798944,2021-09-08,-0.0045361006681794,2021-09-08
109,1010661.5536122642,2021-09-09,-0.0097397115893593,2021-09-09
110,1000735.5142813278,2021-09-10,-0.0098213287083684,2021-09-10
111,1005269.147096315,2021-09-13,0.0045303007141133,2021-09-13
112,997362.565906698,2021-09-14,-0.0078651386173096,2021-09-14
113,1005138.525736345,2021-09-15,0.0077965226442782,2021-09-15
114,1003287.0603535668,2021-09-16,-0.0018420002172554,2021-09-16
115,998926.2063894172,2021-09-17,-0.0043465665376095,2021-09-17
116,982187.9109158912,2021-09-20,-0.0167562882688061,2021-09-20
117,981050.9424823128,2021-09-21,-0.0011575874849836,2021-09-21
118,988861.3112481284,2021-09-22,0.0079612265047659,2021-09-22
119,1000255.3434896676,2021-09-23,0.0115223764060075,2021-09-23
120,997229.310879747,2021-09-24,-0.003025260129442,2021-09-24
121,995915.1401920868,2021-09-27,-0.0013178219626344,2021-09-27
122,982733.9348382966,2021-09-28,-0.0132352695745221,2021-09-28
123,991917.3716571862,2021-09-29,0.0093447844765843,2021-09-29
124,975144.5655144554,2021-09-30,-0.0169094791784003,2021-09-30
125,982964.2554910486,2021-10-01,0.0080190058511659,2021-10-01
