Date,BCRP_net_worth
2021-11-04,1169658.6433894348
2021-11-05,1174555.190563839
2021-11-08,1181671.9837293092
2021-11-09,1176973.3042807197
2021-11-10,1172069.1628903388
2021-11-11,1167464.6238448182
2021-11-12,1172596.4594223136
2021-11-15,1173327.5644713554
2021-11-16,1177083.8591098099
2021-11-17,1168519.048599102
2021-11-18,1165791.6938135643
2021-11-19,1156571.3094202385
2021-11-22,1156782.747105526
2021-11-23,1165644.9537208138
2021-11-24,1169792.6385870704
2021-11-26,1136109.3208583298
2021-11-29,1142352.5043731346
2021-11-30,1124520.3999290809
2021-12-01,1114260.0623538857
2021-12-02,1136484.1952682876
2021-12-03,1134047.7676187172
2021-12-06,1158417.9587710877
2021-12-07,1177047.0134629821
2021-12-08,1179340.7614198304
2021-12-09,1179179.8097368202
2021-12-10,1186741.2981801566
2021-12-13,1175228.9460355185
2021-12-14,1172277.3388750495
2021-12-15,1187012.12906958
2021-12-16,1186778.5494863396
2021-12-17,1170398.005501419
2021-12-20,1157856.4377547074
2021-12-21,1176217.1414536475
2021-12-22,1187125.930021145
2021-12-23,1193030.832913021
2021-12-27,1205220.6316317215
2021-12-28,1207423.0690759125
2021-12-29,1209967.637082447
2021-12-30,1206640.7461030998
2021-12-31,1204647.846679592
2022-01-03,1216299.5972158622
2022-01-04,1225148.9288869172
2022-01-05,1215544.8881459082
2022-01-06,1212339.5470487862
2022-01-07,1211787.9684890404
2022-01-10,1210427.910717224
2022-01-11,1218402.6570428351
2022-01-12,1219310.9765751038
2022-01-13,1213107.9212964135
2022-01-14,1209586.2605295677
2022-01-18,1194770.897069744
2022-01-19,1180951.4079154166
2022-01-20,1169676.6313877488
2022-01-21,1154122.6879081994
2022-01-24,1155415.264596859
2022-01-25,1156503.0683877831
2022-01-26,1156251.8803322029
2022-01-27,1153312.5051428566
2022-01-28,1176760.4743541488
2022-01-31,1187537.7091555062
2022-02-01,1198135.348036068
2022-02-02,1206766.2398980751
2022-02-03,1188684.0850213508
2022-02-04,1187236.2691623878
2022-02-07,1188989.840469673
2022-02-08,1203832.87208321
2022-02-09,1213492.8918742638
2022-02-10,1195115.0440954743
2022-02-11,1180747.6888499374
2022-02-14,1175691.6242388345
2022-02-15,1190311.1360352403
2022-02-16,1188354.6585067483
2022-02-17,1171199.0627148629
2022-02-18,1163411.841042965
2022-02-22,1146219.9841579362
2022-02-23,1130758.4274863815
2022-02-24,1135086.00116444
2022-02-25,1162004.3412850876
2022-02-28,1159910.1542274398
2022-03-01,1142600.4561970443
2022-03-02,1164602.4725436822
2022-03-03,1161949.1809628753
2022-03-04,1155741.8536346627
2022-03-07,1130831.2224214096
2022-03-08,1130109.8961220093
2022-03-09,1151395.6155580024
2022-03-10,1147511.5466351851
2022-03-11,1142028.3962435494
2022-03-14,1141672.2854855307
2022-03-15,1160035.8637429923
2022-03-16,1176818.25179747
2022-03-17,1192069.9196479567
2022-03-18,1202460.7342281304
2022-03-21,1196946.03932798
2022-03-22,1204821.8640485916
2022-03-23,1189908.4521755676
2022-03-24,1203796.7585071984
2022-03-25,1208420.284588089
2022-03-28,1211294.7496314736
2022-03-29,1223088.5975937347
2022-03-30,1219358.9544026947
2022-03-31,1200702.5369952584
2022-04-01,1204638.8504424554
2022-04-04,1210670.1806191253
2022-04-05,1200879.3384391137
2022-04-06,1194421.0765904083
2022-04-07,1198845.2087311973
2022-04-08,1204641.2769983788
2022-04-11,1187699.4182142487
2022-04-12,1184603.9903946
2022-04-13,1197655.0419861716
2022-04-14,1192702.727275444
2022-04-18,1194033.0303764571
2022-04-19,1209634.095681923
2022-04-20,1219173.8774876404
2022-04-21,1204254.4705219879
2022-04-22,1168498.7770041695
2022-04-25,1177101.116612377
2022-04-26,1149032.5684398385
2022-04-27,1154652.637281292
2022-04-28,1177866.5118742257
2022-04-29,1141467.5687054938
2022-05-02,1145319.5728357506
2022-05-03,1147752.6700091704
2022-05-04,1181611.3745735015
2022-05-05,1144874.1883749694
2022-05-06,1142238.9185778808
2022-05-09,1114333.5677815818
2022-05-10,1114908.7806681632
2022-05-11,1104902.517931919
