Date,OLMAR_net_worth
2021-07-02,1118137.122032365
2021-07-06,1111417.250107011
2021-07-07,1116521.0634882061
2021-07-08,1109722.4709055035
2021-07-09,1114962.3139459698
2021-07-12,1112976.278824052
2021-07-13,1112273.7214853375
2021-07-14,1113655.3425027935
2021-07-15,1116003.7071458905
2021-07-16,1112821.3594286053
2021-07-19,1095738.9591104595
2021-07-20,1096196.0557367413
2021-07-21,1102180.5062372296
2021-07-22,1103330.691765031
2021-07-23,1112720.986694688
2021-07-26,1114750.468033189
2021-07-27,1111342.7515338603
2021-07-28,1107436.4246905986
2021-07-29,1112168.8128970806
2021-07-30,1108178.0517352764
2021-08-02,1104485.9315952007
2021-08-03,1112039.606338853
2021-08-04,1104563.7364658061
2021-08-05,1114356.151955003
2021-08-06,1116365.2262805644
2021-08-09,1113261.6526035015
2021-08-10,1114926.0955585185
2021-08-11,1119950.4030536357
2021-08-12,1122492.4541248027
2021-08-13,1123950.4553989116
2021-08-16,1127054.0110248271
2021-08-17,1118234.8306125347
2021-08-18,1106213.936302537
2021-08-19,1105357.1686862651
2021-08-20,1114832.1779941265
2021-08-23,1122572.1479877178
2021-08-24,1122643.3608707134
2021-08-25,1123835.9853290264
2021-08-26,1116957.0950931255
2021-08-27,1123415.7273410503
2021-08-30,1123386.1095050517
2021-08-31,1122303.1434787456
2021-09-01,1122191.9783099834
2021-09-02,1124597.2900775615
2021-09-03,1122938.4274753276
2021-09-07,1115985.9037250225
2021-09-08,1113673.1235812847
2021-09-09,1110089.427116746
2021-09-10,1101805.0672229473
2021-09-13,1105937.331276292
2021-09-14,1099274.0966647808
2021-09-15,1105286.9777911846
2021-09-16,1105166.0089038555
2021-09-17,1098487.9786227886
2021-09-20,1081245.1671069805
2021-09-21,1081997.292831773
2021-09-22,1094420.6854251567
2021-09-23,1112302.9777301494
2021-09-24,1111612.5256274883
2021-09-27,1110346.5670398418
2021-09-28,1090608.9632724468
2021-09-29,1094635.281792039
2021-09-30,1079083.7133487407
2021-10-01,1097122.5170139018
2021-10-04,1085965.3009631399
2021-10-05,1078154.8185946706
2021-10-06,1070081.6521746877
2021-10-07,1080673.729349828
2021-10-08,1076178.362478948
2021-10-11,1066662.6689250234
2021-10-12,1061845.5221278432
2021-10-13,1056677.6402957204
2021-10-14,1058594.3490245107
2021-10-15,1063372.7330958608
2021-10-18,1052320.285261846
2021-10-19,1069558.2736232046
2021-10-20,1083562.7700106862
2021-10-21,1064692.0281321767
2021-10-22,1067653.7042300466
2021-10-25,1070417.5201251272
2021-10-26,1073408.4649798635
2021-10-27,1061596.5064723257
2021-10-28,1097724.7830760244
2021-10-29,1108648.4859721425
2021-11-01,1109882.5120036367
2021-11-02,1116758.225760198
2021-11-03,1117028.8898265127
2021-11-04,1128647.0142695669
2021-11-05,1079096.9534747365
2021-11-08,1086478.1310832265
2021-11-09,1084478.94599793
2021-11-10,1088630.913851476
2021-11-11,1087426.6604296926
2021-11-12,1086138.738524175
2021-11-15,1088473.8794924978
2021-11-16,1089685.5832469228
2021-11-17,1077772.878683782
2021-11-18,1075966.110323644
2021-11-19,1054583.3305651906
2021-11-22,1063216.6902415517
2021-11-23,1073841.436670995
2021-11-24,1070929.425242162
2021-11-26,1037344.2903735401
2021-11-29,1014214.9810206654
2021-11-30,1006307.5577456715
2021-12-01,998334.5915362599
2021-12-02,1004919.4748675587
2021-12-03,1002480.6749446156
2021-12-06,1009385.9915301563
2021-12-07,1009349.3659617665
2021-12-08,1017867.4714190724
2021-12-09,1014135.9629542591
2021-12-10,1013689.9608790638
2021-12-13,1011647.5222613575
2021-12-14,1018088.0569240391
2021-12-15,1027217.3828937352
2021-12-16,1034942.5983096898
2021-12-17,1016101.6281482518
2021-12-20,1012642.1086170018
2021-12-21,1014867.7597247899
2021-12-22,1019605.7416545689
2021-12-23,1020235.1435634434
2021-12-27,1028957.393342191
2021-12-28,1035695.7453700841
2021-12-29,1039202.2632877171
2021-12-30,1038082.999970609
2021-12-31,1039315.2044879735
2022-01-03,1040778.8920451939
2022-01-04,1043178.1995479405
2022-01-05,1051892.0249339878
2022-01-06,1046950.4059955418
2022-01-07,1055706.8120586216
2022-01-10,1055499.5512096225
2022-01-11,1051101.5843593418
2022-01-12,1048875.8899814426
2022-01-13,1050974.1668559848
2022-01-14,1053329.1759845554
2022-01-18,1044390.1541644871
2022-01-19,1046814.3592006505
2022-01-20,1044293.3036701024
2022-01-21,1038065.5459148228
2022-01-24,1036534.2768031895
2022-01-25,1034693.1289531529
2022-01-26,1028012.2058574498
2022-01-27,1031806.6021358311
2022-01-28,1044291.5946208775
2022-01-31,1048593.1468097507
2022-02-01,1049048.3946048557
2022-02-02,1060550.1654407321
2022-02-03,1058245.4734355747
2022-02-04,1048494.2092525304
2022-02-07,1045824.1920940221
2022-02-08,1051748.6014530002
2022-02-09,1048375.5061961949
2022-02-10,1039482.38075369
2022-02-11,1031526.992787534
2022-02-14,1026622.3577586949
2022-02-15,1032651.2507793248
2022-02-16,1031674.1485759557
2022-02-17,1038401.6421062291
2022-02-18,1036702.5095454991
2022-02-22,1029422.4716731847
2022-02-23,1021951.4588596165
2022-02-24,1004918.5305339635
2022-02-25,1039071.6698631298
2022-02-28,1039664.9037307751
2022-03-01,1027676.8257659924
2022-03-02,1047769.0270256054
2022-03-03,1046170.3110832226
2022-03-04,1045945.743235017
2022-03-07,1029624.669836427
2022-03-08,1025543.9149383557
2022-03-09,1041285.2674774182
2022-03-10,1035741.1585029614
2022-03-11,1027423.5407051098
2022-03-14,1022722.1662086499
2022-03-15,1033477.888750459
2022-03-16,1047933.1417793286
2022-03-17,1061013.8626770033
2022-03-18,1069622.9415649427
2022-03-21,1067898.5170883192
2022-03-22,1076342.59356537
2022-03-23,1065619.247068788
2022-03-24,1082770.6504348768
2022-03-25,1089536.322721864
2022-03-28,1090725.7625259412
2022-03-29,1098532.7005638136
2022-03-30,1095162.1291679395
2022-03-31,1077146.8411392225
2022-04-01,1079353.0116790785
2022-04-04,1085324.6419090284
2022-04-05,1074639.345518495
2022-04-06,1072317.8555549635
2022-04-07,1075265.5834068311
2022-04-08,1075988.7429489149
2022-04-11,1063374.5655197157
2022-04-12,1063021.3407196058
2022-04-13,1073246.2583183302
2022-04-14,1063770.2189086927
2022-04-18,1062996.4049285902
2022-04-19,1076468.4766143812
2022-04-20,1080738.6559700025
2022-04-21,1065493.2042488111
2022-04-22,1040222.6533187878
2022-04-25,1046742.5728706372
2022-04-26,1025339.8366302502
2022-04-27,1026522.5465911877
2022-04-28,1048666.3036598219
2022-04-29,1016842.6084236157
2022-05-02,1023523.5545524609
2022-05-03,1027677.60679474
2022-05-04,1057844.492391969
2022-05-05,1027220.3011344922
2022-05-06,1027475.6626457226
2022-05-09,1007094.6643121426
2022-05-10,1003355.2348687833
2022-05-11,995947.2024171536
2022-05-12,1004864.9381311124
2022-05-13,1009411.0226571744
2022-05-16,1018164.2194879239
2022-05-17,1026321.7665422147
2022-05-18,1003673.2811486905
2022-05-19,1000451.5551622098
2022-05-20,1002924.5335252469
2022-05-23,1013076.1769578641
2022-05-24,1022909.05868699
2022-05-25,1028432.9379289334
2022-05-26,1033769.4110734647
2022-05-27,1046522.1371743863
2022-05-31,1042813.0583703702
2022-06-01,1037339.6616227811
2022-06-02,1039146.4663980191
2022-06-03,1030326.9008081143
2022-06-06,1029291.8807656949
2022-06-07,1036444.6374604886
2022-06-08,1029177.0090806668
2022-06-09,1013854.7042215054
2022-06-10,995739.4686105435
2022-06-13,976019.5298059171
2022-06-14,969030.5081689542
2022-06-15,971099.3888261502
2022-06-16,951521.1907289212
2022-06-17,953872.7199380582
2022-06-21,972589.9302652066
2022-06-22,974637.4021241849
2022-06-23,984506.4571359341
2022-06-24,997974.9908769315
2022-06-27,995403.5686471646
2022-06-28,983137.395910043
2022-06-29,985458.0163133328
2022-06-30,978903.0389764493
2022-07-01,987156.4135453885
2022-07-05,985422.3965623563
2022-07-06,985889.8361566251
2022-07-07,991158.6891915982
2022-07-08,988899.3876969998
2022-07-11,986664.3704583829
2022-07-12,984277.8937738126
2022-07-13,977838.6826226895
2022-07-14,974352.7030770963
2022-07-15,988880.0669496243
2022-07-18,977204.3891961758
2022-07-19,992358.2900788968
2022-07-20,988236.3334291165
2022-07-21,982286.4565358708
2022-07-22,972650.6356130192
2022-07-25,970177.0324292729
2022-07-26,952399.4751477788
2022-07-27,974809.3167691777
2022-07-28,988119.5518117497
2022-07-29,1001152.936787183
2022-08-01,1003724.0903478215
2022-08-02,987833.5385213444
2022-08-03,1006516.2055173466
2022-08-04,1006043.1308370183
2022-08-05,1005732.9148526738
2022-08-08,1008158.9896436284
2022-08-09,999840.8182797978
2022-08-10,1024729.8568883488
2022-08-11,1031767.8897405217
2022-08-12,1047887.0652509282
2022-08-15,1052790.7686124395
2022-08-16,1058402.573494489
2022-08-17,1049316.0242848943
2022-08-18,1053311.9325986456
2022-08-19,1034899.3137097905
2022-08-22,1008497.4241681645
2022-08-23,1007684.6250157902
2022-08-24,1014478.9452634404
2022-08-25,1025240.14700752
2022-08-26,987887.9135785649
2022-08-29,980563.9430642674
2022-08-30,971293.8672814915
2022-08-31,962132.1852098057
2022-09-01,958771.2068429539
2022-09-02,949730.8643346379
2022-09-06,941631.1101289341
2022-09-07,957519.4287801335
2022-09-08,963640.0577397892
2022-09-09,982312.0968690465
2022-09-12,994160.8621240208
2022-09-13,947629.7719178746
2022-09-14,950289.2074246953
2022-09-15,939340.7033753941
2022-09-16,926879.8140054295
2022-09-19,935768.0812345097
2022-09-20,924148.3042378972
2022-09-21,907150.3174596379
2022-09-22,896321.532610471
2022-09-23,874374.7762723515
2022-09-26,863276.0191808293
2022-09-27,861556.2890630314
2022-09-28,882083.8078675816
2022-09-29,861808.3182092259
2022-09-30,838039.2430909665
2022-10-03,865559.0470937283
2022-10-04,893610.6750196011
2022-10-05,892661.1979249509
2022-10-06,890578.4305623563
2022-10-07,872763.8267243893
2022-10-10,866983.7129777463
2022-10-11,866690.8961804898
2022-10-12,864562.4089044125
2022-10-13,889530.4761327298
2022-10-14,871498.0905278714
2022-10-17,886609.1021855862
2022-10-18,898675.2097772153
2022-10-19,902003.7850125821
2022-10-20,894168.6135247739
2022-10-21,917716.9735158475
2022-10-24,930378.1185353787
2022-10-25,941724.9698728116
2022-10-26,939638.8744424374
2022-10-27,944427.5156091244
2022-10-28,968189.5764478238
2022-10-31,967218.6081994565
2022-11-01,965892.1811421902
2022-11-02,947949.6670583279
2022-11-03,942418.9591096432
2022-11-04,953574.1045487912
2022-11-07,966091.3161634
2022-11-08,970554.756207803
2022-11-09,946209.1866982968
2022-11-10,991766.6258939297
2022-11-11,1003182.1715234311
2022-11-14,994534.5176290066
2022-11-15,1000995.5883954556
2022-11-16,997122.7778008969
2022-11-17,994724.9648870023
2022-11-18,998012.1887792142
2022-11-21,1000441.508620599
2022-11-22,1017043.3827432187
2022-11-23,1017236.508117059
2022-11-25,1022633.608804086
2022-11-28,1001992.5828698666
2022-11-29,1003979.3389619382
2022-11-30,1027333.2113145383
2022-12-01,1023978.2568143399
2022-12-02,1025114.1753057034
2022-12-05,1004305.1165574582
2022-12-06,991780.8303750546
2022-12-07,991821.3764413388
2022-12-08,998901.1665528805
2022-12-09,987833.5793775113
2022-12-12,1003618.847599952
2022-12-13,1007972.3877000497
2022-12-14,1003330.0885095284
2022-12-15,978819.1004571603
