date,ensemble,dji
2021-07-13,1024785.9362225194,1043629.6854655702
2021-07-14,1025358.7954786916,1044959.0629553777
2021-07-15,1024335.9605717168,1046568.0572451423
2021-07-16,1019642.6004396214,1037619.0343206543
2021-07-19,1004484.8170419928,1015907.777167962
2021-07-20,1014331.3904102254,1032358.4292429864
2021-07-21,1020351.019258141,1040913.9087565861
2021-07-22,1026617.4017215314,1041672.2510180658
2021-07-23,1037581.2886390424,1048797.5133852083
2021-07-26,1038136.5466016888,1051273.0510048852
2021-07-27,1038592.3244875683,1048706.8394876877
2021-07-28,1033229.1433047224,1044890.2395975947
2021-07-29,1036026.998042851,1049484.9290283953
2021-07-30,1028627.7537733656,1045026.0167482635
2021-08-02,1023439.9915453534,1042115.2210509268
2021-08-03,1027403.4024989284,1050438.1734304214
2021-08-04,1014935.1465294996,1040754.5283490889
2021-08-05,1025828.4213415683,1048878.2552192118
2021-08-06,1025115.5302148594,1053193.5615456672
2021-08-09,1022230.927663178,1050003.032200568
2021-08-10,1026396.660615296,1054873.4824537244
2021-08-11,1035933.5048230595,1061463.231325588
2021-08-12,1038830.1186498113,1061908.421466765
2021-08-13,1044526.5021184392,1062372.8914959452
2021-08-16,1050423.3061498113,1065663.9099542762
2021-08-17,1045246.4926274724,1057224.9277033412
2021-08-18,1034043.0926412052,1045780.5030321421
2021-08-19,1035914.904187531,1043789.1827208736
2021-08-20,1046443.8603414006,1050548.2440637518
2021-08-23,1050288.9829495854,1056998.4766551522
2021-08-24,1046567.4608624884,1057912.3433465282
2021-08-25,1047111.2753652044,1059086.0795586333
2021-08-26,1037171.0138944096,1053331.4419568456
2021-08-27,1039422.3317120976,1060590.7287575656
2021-08-30,1043376.6291325992,1058916.7670876188
2021-08-31,1044762.4872907108,1057746.8868531145
2021-09-01,1042660.1689732976,1056305.101773855
2021-09-02,1048579.81498465,1060232.3565363085
2021-09-03,1047413.6557706303,1057996.9411581322
2021-09-07,1037019.9564984746,1049947.6463404845
2021-09-08,1039341.2348149724,1047885.7499543417
2021-09-09,1031698.4871953436,1043348.1991007158
2021-09-10,1028884.9389203496,1035222.0184266653
2021-09-13,1034182.652196259,1043056.5469767326
2021-09-14,1032971.3648885196,1034320.1870593157
2021-09-15,1041550.2624371952,1041404.2021509111
2021-09-16,1042436.9061597296,1039517.577473893
2021-09-17,1032856.3592122502,1034538.8093044973
2021-09-20,1013691.6727574772,1016159.9347334895
2021-09-21,1015007.3956731268,1014645.470318846
2021-09-22,1022049.6173451848,1024770.4495637546
2021-09-23,1029494.138272614,1039921.4034917164
2021-09-24,1030953.6837056584,1040913.9087565861
2021-09-27,1028645.2776425786,1043048.835021531
2021-09-28,1010356.61898169,1026016.8651112431
2021-09-29,1010753.009957642,1028730.8891031359
2021-09-30,998465.8117040104,1012374.5332076206
2021-10-01,1008312.9458859868,1026808.7426930686
2021-10-04,999750.462174744,1017130.7063064281
2021-10-05,1008455.0287959904,1026456.0960143097
2021-10-06,1015814.816309113,1029516.6905990447
2021-10-07,1022775.5393263324,1039625.8953901321
2021-10-08,1021127.362475243,1039365.9090215972
2021-10-11,1016049.118875092,1031881.9238897794
2021-10-12,1009683.36025462,1028360.5984056585
2021-10-13,1010469.3253734668,1028344.707104031
2021-10-14,1025523.5603657918,1044340.7043655859
2021-10-15,1029374.7473422398,1055773.5611039826
2021-10-18,1031914.0338847928,1054692.1346586836
2021-10-19,1038724.1738438152,1060635.8320107134
2021-10-20,1037427.9033580022,1065183.5486234687
2021-10-21,1043330.6562899632,1064996.2415903173
2021-10-22,1038449.4206533435,1067208.0537116649
2021-10-25,1038752.0907154508,1069126.3441441313
2021-10-26,1037845.839605374,1069596.8902592282
2021-10-27,1046030.8893655324,1061634.4133614998
2021-10-28,1049160.1234159628,1068807.2327857183
2021-10-29,1059095.5414232565,1071471.8301556378
2021-11-01,1064757.2926058087,1074292.06880326
2021-11-02,1064996.3682520643,1078443.6713533932
2021-11-03,1068259.480426713,1081583.0213594283
2021-11-04,1077278.5222751813,1080585.4916388968
2021-11-05,1085294.4408194737,1086679.3384217436
2021-11-08,1086196.607942948,1089798.3569095205
2021-11-09,1079980.8823166776,1086440.9688973343
2021-11-10,1073103.442877606,1079260.6712135265
