date,ensemble,dji
2022-06-15,806665.1353585011,838280.1743582352
2022-06-16,785949.9529778248,818013.4585765727
2022-06-17,789956.0471894032,816966.8286927671
2022-06-21,804038.1742150075,834500.5085003644
2022-06-22,801268.6707093007,833212.5745066479
2022-06-23,803183.0438477284,838521.531854011
2022-06-24,824957.5119759327,861025.8093964461
2022-06-27,822872.0937096364,859319.6505361276
2022-06-28,811844.8548714406,845891.5039065107
2022-06-29,810815.3137223012,848141.611345564
2022-06-30,805855.6438881642,841202.142908622
2022-07-01,815242.4517189747,849998.905589767
2022-07-05,811426.4911362416,846460.8641569972
2022-07-06,811247.2207695729,848370.369777194
2022-07-07,822159.1591448286,857851.5926338184
2022-07-08,821481.5356181485,856583.304638431
2022-07-11,817126.5397655714,852092.1119715134
2022-07-12,813445.0565938527,846830.1341853718
2022-07-13,810592.3067250134,841129.965219109
2022-07-14,809078.5771279142,837231.6759691536
2022-07-15,824437.0290253179,855219.6161022446
2022-07-18,815128.5842428319,849325.1225872926
2022-07-19,829047.555205097,869946.694213773
2022-07-20,826796.165211971,871252.9395591929
2022-07-21,831654.3224430807,875682.6317096023
2022-07-22,829558.2745813177,871921.2238175699
2022-07-25,829699.9543147046,874401.744650069
2022-07-26,820784.6533202283,868156.0255291206
2022-07-27,832442.8062959325,880074.8469827644
2022-07-28,836419.1756516759,889150.7109662574
2022-07-29,844176.7009318616,897774.3966729929
2022-08-01,843332.5498323974,896497.0864664163
2022-08-02,840968.153945404,885502.7480374022
2022-08-03,844407.3828371579,896882.5324118934
2022-08-04,842492.6314856106,894540.6012849978
2022-08-05,842316.6454035336,896635.6761720199
2022-08-08,842519.9617228084,897430.2713870449
2022-08-09,839933.4575332485,895841.4012721851
2022-08-10,855965.7284493442,910467.6334846823
2022-08-11,857571.0885923381,911210.0173237132
2022-08-12,868026.832751514,922809.8048479704
2022-08-15,869832.1702225719,926947.8500177509
2022-08-16,870162.920933376,933496.1602216582
2022-08-17,868151.5889406315,928803.2223708129
2022-08-18,872320.5572914425,929314.8725012079
2022-08-19,864550.473071262,921325.2507133685
2022-08-22,848923.447815376,903746.2463063655
2022-08-23,847450.0844550397,899536.3437622621
2022-08-24,850865.8774443776,901166.5345366508
2022-08-25,857664.3093082616,909982.9966019897
2022-08-26,834426.4937341268,882420.3549626165
2022-08-29,827989.8918991315,877379.7683587316
2022-08-30,822091.9582885529,868957.7210641939
2022-08-31,818460.9522884805,861292.3116346485
2022-09-01,820125.2932044236,865282.7448876362
2022-09-02,814652.4009397561,856044.5344886034
2022-09-06,807568.7451729982,851312.037711775
2022-09-07,814489.9187724893,863228.8838884128
