Date,CRP_net_worth
2021-06-23,1079095.2844720955
2021-06-24,1088308.3379269561
2021-06-25,1097471.0373293457
2021-06-28,1093315.8768595506
2021-06-29,1092573.9024955712
2021-06-30,1098826.3330050393
2021-07-01,1101157.278088627
2021-07-02,1105539.0985720595
2021-07-06,1098860.8163586196
2021-07-07,1102247.646055191
2021-07-08,1094957.4602494813
2021-07-09,1108292.1103528023
2021-07-12,1111403.1509655532
2021-07-13,1108866.3584561844
2021-07-14,1111303.472943161
2021-07-15,1111616.9090308151
2021-07-16,1102774.2355333748
2021-07-19,1082076.6200799674
2021-07-20,1096959.1149824066
2021-07-21,1106347.1435784684
2021-07-22,1106109.4092830315
2021-07-23,1111917.4877078324
2021-07-26,1116203.3082963638
2021-07-27,1113659.4165327416
2021-07-28,1109871.436264431
2021-07-29,1114347.049304161
2021-07-30,1110751.364734253
2021-08-02,1107462.0623186417
2021-08-03,1116112.3057677383
2021-08-04,1105287.970559719
2021-08-05,1114133.0777357866
2021-08-06,1117342.0598025436
2021-08-09,1114955.5310508271
2021-08-10,1120106.8017451058
2021-08-11,1127103.3090253677
2021-08-12,1128354.3001884422
2021-08-13,1129279.684337105
2021-08-16,1132543.4446315423
2021-08-17,1125300.0150651208
2021-08-18,1112551.103219864
2021-08-19,1110373.7853266906
2021-08-20,1116951.4834052238
2021-08-23,1124234.3734758988
2021-08-24,1124866.41432724
2021-08-25,1126414.7129591065
2021-08-26,1119160.8873499068
2021-08-27,1126258.8702727698
2021-08-30,1125705.857577526
2021-08-31,1126576.5506796455
2021-09-01,1124900.362849308
2021-09-02,1130088.3272204627
2021-09-03,1127612.4841074257
2021-09-07,1118677.0913170204
2021-09-08,1117816.328259899
2021-09-09,1112459.8638199463
2021-09-10,1104477.092080448
2021-09-13,1111675.1974970857
2021-09-14,1102182.2483402176
2021-09-15,1110581.5818097345
2021-09-16,1107686.959976265
2021-09-17,1102027.2479119492
2021-09-20,1084013.6050591087
2021-09-21,1081936.942441021
2021-09-22,1092353.4408055877
2021-09-23,1108168.886757038
2021-09-24,1108714.6713259162
2021-09-27,1110340.4178413658
2021-09-28,1094738.956036312
2021-09-29,1098708.199392479
2021-09-30,1082414.1155801201
2021-10-01,1098871.467614147
2021-10-04,1091262.7399969292
2021-10-05,1099235.434419258
2021-10-06,1101406.0934141197
2021-10-07,1111710.8308020898
2021-10-08,1110698.1992465095
2021-10-11,1102956.1576958047
2021-10-12,1097867.0140584144
2021-10-13,1097484.9991449777
2021-10-14,1114352.0129640808
2021-10-15,1122457.9297622605
2021-10-18,1118924.824740135
2021-10-19,1126817.736598797
2021-10-20,1133423.582470375
2021-10-21,1131184.9748292197
2021-10-22,1129254.2817955627
2021-10-25,1130747.955494732
2021-10-26,1130226.8701785966
2021-10-27,1120944.6305632477
2021-10-28,1129691.8955502892
2021-10-29,1132448.2909117623
2021-11-01,1135975.2888071518
2021-11-02,1140524.6580802535
2021-11-03,1145132.6500378496
2021-11-04,1144648.83911195
2021-11-05,1150880.0958832474
2021-11-08,1153001.0554277573
2021-11-09,1149543.6904138564
2021-11-10,1145067.43754039
2021-11-11,1139493.0496984443
2021-11-12,1143132.5482687112
2021-11-15,1144300.9090162925
2021-11-16,1143576.9485617524
2021-11-17,1136914.2090421142
2021-11-18,1131926.3012168694
2021-11-19,1123093.194395588
2021-11-22,1126347.5079047394
2021-11-23,1131874.9938610534
2021-11-24,1131426.0169106484
2021-11-26,1103987.536382843
2021-11-29,1109393.8113997155
2021-11-30,1089248.0559944229
2021-12-01,1076974.5496944922
2021-12-02,1096323.8160026511
2021-12-03,1097447.7218309746
2021-12-06,1117731.5404439622
2021-12-07,1131316.3426042823
2021-12-08,1132403.1929118615
2021-12-09,1132263.2606815645
2021-12-10,1139535.3008417168
2021-12-13,1131859.7297587853
2021-12-14,1130473.2703657
2021-12-15,1141054.7301066895
2021-12-16,1143652.8881526985
2021-12-17,1129426.468825737
2021-12-20,1116994.8938904458
2021-12-21,1134405.655942238
2021-12-22,1141553.5870170747
2021-12-23,1147332.7810293655
2021-12-27,1157750.7611776467
2021-12-28,1161181.4841790276
2021-12-29,1163841.991608425
2021-12-30,1161240.0928313714
2021-12-31,1159438.971785965
2022-01-03,1168979.6935844994
2022-01-04,1177226.3393640022
2022-01-05,1170254.2036234094
2022-01-06,1167035.8319373932
2022-01-07,1171448.1406263618
2022-01-10,1167579.6664966394
2022-01-11,1172764.8255628624
2022-01-12,1173478.4071564141
2022-01-13,1169395.3010478248
2022-01-14,1164779.1471416168
2022-01-18,1150313.7658559608
2022-01-19,1140297.5188490602
2022-01-20,1130341.0594334602
2022-01-21,1115489.8148941535
2022-01-24,1116771.381126236
2022-01-25,1116983.3974072915
2022-01-26,1110188.891184082
2022-01-27,1107502.5302897454
2022-01-28,1124157.8720480613
2022-01-31,1136291.9496514474
2022-02-01,1144384.8585682716
2022-02-02,1151278.036308876
2022-02-03,1134423.2220260543
2022-02-04,1133058.0399552116
2022-02-07,1134045.263281208
2022-02-08,1143414.7075234223
2022-02-09,1152644.341246311
2022-02-10,1138430.3733252028
2022-02-11,1123710.002050953
2022-02-14,1118086.6213420297
2022-02-15,1132231.2578159142
2022-02-16,1130605.161636135
2022-02-17,1115344.9855440026
2022-02-18,1108685.5018000526
2022-02-22,1095414.8853064612
2022-02-23,1081203.8650906105
2022-02-24,1083161.9457937507
2022-02-25,1110716.6605984992
2022-02-28,1105530.9055634004
2022-03-01,1086684.8445041466
2022-03-02,1106194.3154982377
2022-03-03,1104676.8152492295
2022-03-04,1099691.6372936326
2022-03-07,1075007.123671219
2022-03-08,1069007.4722054328
2022-03-09,1088643.1187442436
2022-03-10,1082981.8898183976
2022-03-11,1075524.0890413055
2022-03-14,1074760.1604193344
2022-03-15,1093092.745543125
2022-03-16,1108892.4243873176
2022-03-17,1120863.6100848427
2022-03-18,1128160.0571022225
2022-03-21,1123715.0879815675
2022-03-22,1132571.6281758156
2022-03-23,1119480.6734990845
2022-03-24,1131209.560999504
2022-03-25,1137980.3665653649
2022-03-28,1140313.3240313148
2022-03-29,1151861.6107893372
2022-03-30,1149848.330186741
2022-03-31,1131034.5591665534
2022-04-01,1134566.4287714157
2022-04-04,1138163.9750306206
2022-04-05,1128555.8895610084
2022-04-06,1125106.7458180275
2022-04-07,1128471.3733845062
2022-04-08,1131346.3531487274
2022-04-11,1118329.986642929
2022-04-12,1115423.6522224923
2022-04-13,1125856.1348397217
2022-04-14,1122254.1422597733
2022-04-18,1120031.0224159393
2022-04-19,1137176.318468258
2022-04-20,1145094.0506755256
2022-04-21,1135521.5240813103
2022-04-22,1104799.8703636285
2022-04-25,1110902.2106725045
2022-04-26,1084463.996581398
2022-04-27,1082908.6711673127
2022-04-28,1103620.6453027152
2022-04-29,1072178.45698769
2022-05-02,1075754.3209870681
2022-05-03,1078903.7970786553
2022-05-04,1109736.8040058785
2022-05-05,1077527.4058703308
2022-05-06,1073966.229584839
2022-05-09,1054277.7289891206
2022-05-10,1051540.2396510276
2022-05-11,1040874.5651886024
2022-05-12,1038300.6715477218
2022-05-13,1054073.9231845322
2022-05-16,1054986.1833674393
2022-05-17,1069677.1674517707
2022-05-18,1029849.8913734932
2022-05-19,1016357.576060379
2022-05-20,1017015.5826695213
2022-05-23,1038270.5685051498
2022-05-24,1039194.7807606201
2022-05-25,1045742.2061635704
2022-05-26,1062753.9549966468
2022-05-27,1082026.7967755166
2022-05-31,1076817.865470726
2022-06-01,1072161.106379589
2022-06-02,1087711.792285038
2022-06-03,1075909.86385886
2022-06-06,1076215.6604835663
2022-06-07,1083891.347147129
2022-06-08,1074040.7927592925
2022-06-09,1052063.4664626007
2022-06-10,1026228.8791623268
2022-06-13,997854.1141780854
2022-06-14,993867.807411438
2022-06-15,1005163.8351195221
2022-06-16,982346.596641449
2022-06-17,982033.4919987259
2022-06-21,1001397.9070508385
2022-06-22,998757.1890603218
2022-06-23,1004440.2088085442
2022-06-24,1031610.5699101295
2022-06-27,1028771.4206872635
2022-06-28,1011054.0298747673
2022-06-29,1011237.6620155602
2022-06-30,1001861.0835337181
2022-07-01,1011517.2150765534
2022-07-05,1009274.2867970924
2022-07-06,1010295.8452908249
2022-07-07,1022861.3130621605
2022-07-08,1020187.5982707482
2022-07-11,1014360.7599721528
2022-07-12,1010260.0485172806
2022-07-13,1004624.6114713821
2022-07-14,999830.4406011963
2022-07-15,1018901.5817648506
2022-07-18,1012049.4358012046
2022-07-19,1035163.3126487999
2022-07-20,1037915.4165883522
2022-07-21,1041734.0211913834
2022-07-22,1035243.4464935226
2022-07-25,1037800.2533739548
2022-07-26,1030361.5695621223
2022-07-27,1044787.0930460014
2022-07-28,1054965.7078544693
2022-07-29,1062825.591755619
2022-08-01,1063477.654562622
2022-08-02,1049277.1493386002
2022-08-03,1062057.806584259
2022-08-04,1058294.5749496117
2022-08-05,1060343.8960918274
2022-08-08,1061619.6595587044
2022-08-09,1059079.0612267493
2022-08-10,1076784.0880480309
2022-08-11,1079836.1999386216
2022-08-12,1093830.1716578025
2022-08-15,1099187.4338317872
2022-08-16,1107276.233586525
2022-08-17,1101150.3344514847
2022-08-18,1101885.435293209
2022-08-19,1091885.0871199456
2022-08-22,1070395.6472060166
2022-08-23,1066758.6521265334
2022-08-24,1068233.0376208383
2022-08-25,1078524.9041497498
2022-08-26,1045822.2700561371
2022-08-29,1039597.2068773861
2022-08-30,1029285.9502449627
2022-08-31,1020175.9852103862
2022-09-01,1024443.8103251628
2022-09-02,1013600.2023646755
2022-09-06,1007299.4910241279
2022-09-07,1021795.8458539657
2022-09-08,1027030.7537648812
2022-09-09,1041153.203212658
2022-09-12,1049946.1049549752
2022-09-13,1008739.0629508953
2022-09-14,1010852.6402295551
2022-09-15,1002217.608736723
2022-09-16,998394.2365553417
2022-09-19,1004263.4598440342
2022-09-20,993575.9253465062
2022-09-21,976240.5490569515
2022-09-22,972370.5624168472
2022-09-23,955813.4793635368
2022-09-26,945465.3947380752
2022-09-27,940875.3063468208
2022-09-28,957942.6890622978
2022-09-29,940981.836226307
2022-09-30,922383.2431948815
2022-10-03,948133.4253385811
2022-10-04,974899.2415529403
2022-10-05,973165.1232960968
2022-10-06,960835.5681052856
2022-10-07,938905.0424391404
2022-10-10,937227.2070888386
2022-10-11,937895.8896430416
2022-10-12,936831.5668283672
2022-10-13,964583.8731478596
2022-10-14,951284.5513043308
2022-10-17,969164.153993618
2022-10-18,979303.7479859734
2022-10-19,977300.6411353588
2022-10-20,975237.9990598832
2022-10-21,997265.15085989
2022-10-24,1009807.9120980911
2022-10-25,1023144.774875164
2022-10-26,1023261.9414428368
2022-10-27,1027448.7343114528
2022-10-28,1057482.1931366443
2022-10-31,1051922.8700270976
2022-11-01,1049605.4413113536
2022-11-02,1032085.1450804634
2022-11-03,1026678.7984841575
2022-11-04,1042083.9700208035
2022-11-07,1054144.7654387893
2022-11-08,1062869.6283150292
2022-11-09,1040400.8566285954
2022-11-10,1083158.6758125934
2022-11-11,1090302.6515677813
2022-11-14,1085377.2728011685
2022-11-15,1089699.2457378444
2022-11-16,1085195.0971904143
2022-11-17,1087054.0533289718
2022-11-18,1092901.0358804169
2022-11-21,1093801.341280157
2022-11-22,1107554.8095403118
2022-11-23,1110671.3972417584
2022-11-25,1113181.3854993572
2022-11-28,1097138.3656280632
2022-11-29,1098705.4817454147
2022-11-30,1123554.7980799866
2022-12-01,1118059.9684056912
2022-12-02,1119477.9588800527
2022-12-05,1102663.1201272889
2022-12-06,1089924.795848421
2022-12-07,1089387.36720479
2022-12-08,1095786.059517273
2022-12-09,1087117.0793515644
2022-12-12,1104246.4523225727
2022-12-13,1108518.093459446
2022-12-14,1103151.0092351495
2022-12-15,1078040.3388563613
2022-12-16,1068088.6937023296
2022-12-19,1062721.8897314663
2022-12-20,1066014.0238077755
2022-12-21,1083343.6888112621
2022-12-22,1072520.5950978526
2022-12-23,1077865.8987314014
2022-12-27,1079390.0951070462
2022-12-28,1065997.7776361466
2022-12-29,1078634.1947676544
2022-12-30,1077206.2559467696
2023-01-03,1079612.8250796318
2023-01-04,1089235.627260069
2023-01-05,1079037.3185558873
2023-01-06,1104721.1203548966
2023-01-09,1101441.3537991657
2023-01-10,1107687.18612813
