time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
44,14150,319,283,,0.0028961932,4.389249579617172e-06,0.000156839782837892,0.2,-7.081668329238892,0.0,2820,0.00025,-10.52180004119873,0.9984391331672668,-0.005503113381564617,2960.0,8.450000000000001e-05
44,14200,320,284,,0.010971682,1.5324859759857644e-06,-0.011338787375017746,0.2,-7.084988117218018,0.05599999912083149,2830,0.00025,-6.854079723358154,0.9985817074775696,-0.01793862134218216,2960.0,8.450000000000001e-05
44,14250,321,285,,0.01824707,1.664178932969662e-06,-0.024286937352269878,0.2,-7.084862279891968,0.09000000059604644,2840,0.00025,-0.3498091697692871,0.9987221956253052,-0.04306873306632042,2960.0,8.450000000000001e-05
44,14300,323,286,,0.007906653,1.8273400996804412e-06,-0.005431381062255269,0.2,-7.086279630661011,0.03599999919533729,2850,0.00025,-3.0565152168273926,0.999045729637146,-0.015095618553459644,2960.0,8.450000000000001e-05
44,14350,324,287,,0.0011071968,4.2290216242690805e-06,0.002676315715070743,0.2,-7.087413167953491,0.0,2860,0.00025,-6.154376029968262,0.9991810917854309,-0.0031042054761201143,2960.0,8.450000000000001e-05
44,14400,325,288,,0.03583614,2.622280317154946e-06,-0.028459669230505823,0.2,-7.088415336608887,0.16600000187754632,2870,0.00025,-16.619964599609375,0.9996998906135559,-0.043814729899168015,2960.0,8.450000000000001e-05
44,14450,327,289,,0.006712805,1.0507771605716699e-06,-0.005684941371437091,0.2,-7.092328977584839,0.02799999974668026,2880,0.00025,-24.352317810058594,1.0006870031356812,-0.013983250595629215,2960.0,8.450000000000001e-05
44,14500,328,290,,0.02635693,1.859729411535227e-06,-0.022794864149764216,0.2,-7.09676604270935,0.10200000070035457,2890,0.00025,-23.603805541992188,1.0013808012008667,-0.04396796226501465,2960.0,8.450000000000001e-05
44,14550,329,291,,0.003915955,2.194373041675135e-06,0.004724437340933818,0.2,-7.098681259155273,0.007999999821186066,2900,0.00025,-0.7453505992889404,1.0013654232025146,-0.004686737898737192,2960.0,8.450000000000001e-05
44,14600,331,292,,0.014361072,1.650070976211282e-06,-0.019282078716903926,0.2,-7.098151826858521,0.07800000086426735,2910,0.00025,0.6216602623462677,1.0014662742614746,-0.038901954889297485,2960.0,8.450000000000001e-05
