time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/clip_range,train/std,train/explained_variance,train/entropy_loss,train/loss
86016,91,42,939,1.0102568096215236e-05,0.00025,-0.00014815384615384614,-0.018197450057778043,410,3212.0,0.020117471,0.09208984375,0.3,0.9248363375663757,-0.48393166065216064,-9.38041212260723,-0.04970439895987511
88064,91,43,963,9.57635542420121e-06,0.00025,-0.0001495185185185185,-0.02206856515549589,420,3212.0,0.021730462,0.099658203125,0.3,0.9148025512695312,-1.0379223823547363,-9.321959754824638,-0.002692057052627206
90112,91,44,987,8.673115969770606e-06,0.00025,-0.00014792857142857142,-0.01753303645964479,430,3212.0,0.018971128,0.083203125,0.3,0.9122064709663391,-0.9399353265762329,-9.277445363998414,-0.035854220390319824
92160,91,45,1007,8.693442917717676e-06,0.00025,-0.00014792857142857142,-0.016683907962578813,440,3212.0,0.017122425,0.06396484375,0.3,0.9051637053489685,-1.212038278579712,-9.24330361187458,-0.009966534562408924
94208,91,46,1030,6.846892608081135e-06,0.00025,-0.00014586206896551724,-0.01806678680004552,450,3212.0,0.018878343,0.07392578125,0.3,0.897431492805481,-1.3415577411651611,-9.181686407327652,-0.07791820168495178
96256,91,47,1051,8.013276459450936e-06,0.00025,-0.00014586206896551724,-0.019600901850208175,460,3212.0,0.01979654,0.081787109375,0.3,0.8946689367294312,-0.4953824281692505,-9.14395867884159,-0.059672191739082336
98304,91,48,1075,9.614688298142938e-06,0.00025,-0.00014543333333333336,-0.026144388178363443,470,3212.0,0.026596023,0.13017578125,0.3,0.8900782465934753,-0.534939169883728,-9.109274449944497,-0.03556370735168457
100352,91,49,1099,6.2740150994500254e-06,0.00025,-0.00014319354838709678,-0.01665110079338774,480,3212.0,0.019249782,0.091650390625,0.3,0.8858566284179688,-1.1600267887115479,-9.076516696810723,-0.030342180281877518
102400,91,50,1120,7.711960397926987e-06,0.00025,-0.00014319354838709678,-0.022421522306103725,490,3212.0,0.024763599,0.109619140625,0.3,0.8834248185157776,-0.21613645553588867,-9.046929123997689,-0.04361545294523239
104448,91,51,1144,7.963094621032951e-06,0.00025,-0.000141875,-0.023190034582512453,500,3212.0,0.021983612,0.095751953125,0.3,0.8857709765434265,-1.0270988941192627,-9.053197494149208,-0.019060632213950157
